solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
saga,elasticnet,False,0.355,53.41194649320669,False,8.926,100,auto,0.38801723531250565,,2019,0,False,,0.105
lbfgs,none,False,0.596,90.331,False,2.004,98,multinomial,0.4144179882772473,,2019,0,True,,0.084
lbfgs,none,False,0.596,90.331,False,2.004,98,multinomial,0.650832862263345,,2019,0,True,,0.084
lbfgs,none,False,0.596,90.331,False,2.004,98,multinomial,0.001524221856720187,,2019,0,False,,0.084
liblinear,l1,False,0.476,26.565,False,6.653,103,ovr,,,2019,0,False,,0.121
saga,elasticnet,False,0.214,59.07,True,6.348,100,auto,0.1923095412446758,,2019,0,False,,0.104
sag,none,False,0.676,78.04852841018604,True,7.71942444449204,102,multinomial,,,2019,0,False,,0.013
liblinear,l2,True,0.861,8.464149944809732,True,3.899,101,ovr,0.23941596018595857,,2019,0,False,,-0.098
saga,elasticnet,False,0.214,59.07,True,6.348,100,multinomial,0.8754233917130172,,2019,0,False,,0.119
sag,l2,False,0.34140683836207725,78.04852841018604,True,7.71942444449204,102,multinomial,,,2019,0,False,,0.095
sag,none,False,0.745721052753264,9.673,False,9.521,97,multinomial,0.4144063966836443,,2019,0,False,,-0.015
lbfgs,l2,False,0.84,85.571,False,1.857,105,auto,,,2019,0,True,,0.084
saga,none,False,0.585,70.441,True,9.313,98,auto,0.41822655329246605,,2019,0,True,,0.104
lbfgs,none,False,0.596,90.331,False,2.104,98,multinomial,0.6621958889738174,,2019,0,False,,0.084
sag,none,False,0.741,99.491,False,6.085,102,auto,,,2019,0,False,,-0.125
lbfgs,none,False,0.596,90.331,False,2.104,105,multinomial,0.44535218971882984,,2019,0,False,,0.084
saga,elasticnet,False,0.214,59.07,True,6.348,100,ovr,0.25922692344722276,,2019,0,False,,0.104
liblinear,l2,True,0.861,8.464149944809732,True,3.899,101,ovr,0.15768657212231085,,2019,0,False,,-0.098
saga,elasticnet,False,0.214,59.07,True,6.348,100,ovr,0.48726560106903205,,2019,0,False,,0.104
saga,l2,False,0.214,59.07,True,6.348,100,ovr,0.5614049256144269,,2019,0,False,,0.104
saga,l2,False,0.214,59.07,True,6.348,100,ovr,,,2019,0,False,,0.104
liblinear,l2,False,0.754,51.093851763530566,True,8.663,101,ovr,,,2019,0,True,,0.147
saga,elasticnet,False,0.355,53.41194649320669,False,8.926,100,auto,0.8838751542487009,,2019,0,False,,0.105
liblinear,l1,False,0.754,51.093851763530566,True,8.663,104,ovr,,,2019,0,True,,0.102
liblinear,l2,True,0.093,32.806,True,1.656,96,ovr,0.31205824641687296,,2019,0,True,,-0.113
saga,l1,False,0.439,87.218330997712,False,0.208,105,auto,0.46689223535252355,,2019,0,False,,0.105
saga,elasticnet,False,0.355,53.41194649320669,False,8.926,100,auto,0.8090458573603624,,2019,0,False,,0.105
saga,l2,False,0.546,82.616,False,7.232,97,auto,,,2019,0,False,,0.105
newton-cg,l2,False,0.747,89.041,False,9.441,95,auto,,,2019,0,True,,0.084
saga,l1,False,0.585,70.441,True,9.313,98,auto,0.8124149323637591,,2019,0,True,,0.104
lbfgs,none,False,0.586,90.331,False,2.104,105,multinomial,0.188001294050828,,2019,0,False,,0.084
saga,l1,False,0.583,31.596,False,3.94,100,ovr,0.9994203594553304,,2019,0,False,,0.105
liblinear,l2,False,0.754,51.093851763530566,False,8.663,104,ovr,,,2019,0,True,,0.147
sag,l2,False,0.898,30.49,False,3.588,104,multinomial,,,2019,0,False,,-0.015
saga,elasticnet,False,0.355,53.41194649320669,False,8.926,100,auto,0.08346705017572931,,2019,0,True,,0.105
liblinear,l2,True,0.03657509268060322,8.464149944809732,True,3.899,101,ovr,0.7255543554613124,,2019,0,False,,-0.098
sag,none,False,0.335,36.022,True,7.354,104,auto,,,2019,0,False,,0.105
sag,none,False,0.335,36.022,True,7.354,104,auto,,,2019,0,True,,0.105
saga,l1,False,0.575,70.441,True,9.313,98,auto,0.7173241433110372,,2019,0,True,,0.104
saga,l1,False,0.4132482743973696,31.596,False,3.94,100,ovr,0.0023575647193538884,,2019,0,False,,0.105
saga,elasticnet,False,0.575,70.441,True,9.313,98,auto,0.8227314105314157,,2019,0,True,,0.104
saga,l2,False,0.556,82.616,False,7.232,97,auto,,,2019,0,False,,0.105
lbfgs,none,False,0.586,90.331,True,2.104,105,multinomial,0.5283459768597928,,2019,0,False,,0.044
sag,none,False,0.34140683836207725,78.04852841018604,True,7.71942444449204,99,multinomial,,,2019,0,False,,0.093
saga,l2,False,0.214,59.07,True,7.750339122284082,100,ovr,,,2019,0,False,,0.104
lbfgs,none,False,0.586,90.331,True,2.104,105,ovr,0.11890389478474583,,2019,0,False,,0.044
newton-cg,l2,False,0.093,32.806,True,1.656,96,ovr,0.6492654248961536,,2019,0,True,,0.044
sag,none,False,0.34140683836207725,78.04852841018604,True,7.71942444449204,98,multinomial,,,2019,0,False,,0.093
liblinear,l1,False,0.09862684152581015,56.234,True,9.909,102,ovr,0.9785151867733981,,2019,0,False,,0.072
lbfgs,none,False,0.586,90.331,True,0.36132317524722507,105,ovr,0.8539381095973382,,2019,0,False,,0.044
saga,elasticnet,False,0.282,29.027,True,1.585,105,ovr,0.39669617733090445,,2019,0,True,,0.104
lbfgs,none,False,0.7123668934243603,85.571,False,1.857,105,auto,,,2019,0,True,,0.084
lbfgs,none,False,0.575,70.441,True,9.313,98,auto,0.7923415311856522,,2019,0,True,,0.044
sag,l2,False,0.335,36.022,True,7.354,104,auto,,,2019,0,True,,0.109
saga,l1,False,0.4132482743973696,95.65691286027949,False,3.94,100,ovr,0.13342055420254906,,2019,0,False,,0.105
lbfgs,l2,False,0.857,48.837,False,5.386,95,ovr,0.6507832381497373,,2019,0,True,,0.084
