solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
sag,l2,False,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,auto,0.06369358682546478,,2019,0,True,,-0.026
liblinear,l1,False,0.03148164117998668,2.2859184116546056,False,9.213970156028365,95,ovr,0.6202660143926879,,2019,0,True,,0.012
liblinear,l2,True,0.03148164117998668,2.2859184116546056,False,9.213970156028365,95,ovr,0.7138593283353418,,2019,0,True,,0.002
liblinear,l2,True,0.24384872748191685,59.33585409152254,True,1.4499417609870462,97,auto,0.9442678436620998,,2019,0,True,,-0.024
lbfgs,none,False,0.856,16.442,True,6.548,97,ovr,,,2019,0,True,,0.018
liblinear,l2,True,0.24384872748191685,59.33585409152254,False,1.4499417609870462,97,auto,0.9938978555913804,,2019,0,True,,-0.027
liblinear,l2,True,0.03148164117998668,2.2859184116546056,False,9.213970156028365,102,ovr,0.16930523425999522,,2019,0,True,,-0.0
lbfgs,none,False,0.016,41.5,True,3.127,97,auto,,,2019,0,True,,0.018
liblinear,l2,True,0.24384872748191685,59.33585409152254,False,1.4499417609870462,97,auto,0.2257226962601564,,2019,0,True,,-0.027
liblinear,l2,True,0.24384872748191685,59.33585409152254,False,1.4499417609870462,97,auto,0.877143812392397,,2019,0,True,,-0.027
liblinear,l2,True,0.24384872748191685,59.33585409152254,False,1.4499417609870462,103,auto,0.5172595334442466,,2019,0,True,,-0.006
lbfgs,none,False,0.856,99.05520826978609,True,6.548,97,ovr,,,2019,0,True,,0.018
liblinear,l1,False,0.24384872748191685,59.33585409152254,False,1.4499417609870462,103,auto,0.44980998166571906,,2019,0,True,,-0.019
liblinear,l1,False,0.24384872748191685,59.33585409152254,False,1.4499417609870462,103,auto,0.1398703509406709,,2019,0,True,,-0.019
liblinear,l1,False,0.24384872748191685,33.71819891457576,False,1.4499417609870462,103,auto,0.44778908194339195,,2019,0,True,,-0.019
liblinear,l2,True,0.03148164117998668,2.2859184116546056,False,9.213970156028365,102,ovr,0.10962568379723459,,2019,0,False,,-0.0
liblinear,l1,False,0.24384872748191685,32.718,False,1.4499417609870462,103,auto,0.27200717423880294,,2019,0,True,,-0.019
liblinear,l2,True,0.03148164117998668,2.2859184116546056,False,9.213970156028365,102,ovr,0.32773487705277726,,2019,0,False,,-0.0
liblinear,l2,True,0.03148164117998668,2.2859184116546056,False,9.213970156028365,102,ovr,0.2386459780466892,,2019,0,False,,-0.0
liblinear,l2,True,0.021,2.2859184116546056,False,9.213970156028365,102,ovr,0.6198766506259831,,2019,0,False,,-0.0
liblinear,l1,False,0.24384872748191685,32.718,False,1.4499417609870462,103,auto,0.8491673448389943,,2019,0,True,,-0.019
lbfgs,none,False,0.856,99.05520826978609,False,6.548,97,ovr,,,2019,0,True,,0.013
liblinear,l1,False,0.24384872748191685,32.718,False,1.4499417609870462,103,auto,0.3978486057566839,,2019,0,True,,-0.019
liblinear,l2,True,0.021,3.286,False,9.213970156028365,102,ovr,0.526455758787562,,2019,0,False,,-0.001
lbfgs,none,False,0.856,99.05520826978609,False,6.548,97,ovr,,,2019,0,False,,0.013
liblinear,l2,True,0.021,3.286,True,9.213970156028365,102,ovr,0.5346977074339867,,2019,0,False,,0.01
liblinear,l1,False,0.24384872748191685,32.718,False,1.4499417609870462,103,auto,0.05593405061997281,,2019,0,True,,-0.019
liblinear,l1,False,0.0006123509583516129,32.718,False,1.4499417609870462,103,auto,0.3336302904413664,,2019,0,True,,0.013
saga,elasticnet,False,0.021,3.286,True,9.213970156028365,102,ovr,0.8285713962829567,,2019,0,False,,-0.002
liblinear,l2,False,0.0006123509583516129,32.718,False,1.4499417609870462,103,auto,0.621026998474783,,2019,0,True,,0.014
saga,elasticnet,False,0.021,3.286,True,9.213970156028365,102,ovr,0.9194053738054179,,2019,0,False,,-0.002
lbfgs,l2,False,0.856,99.05520826978609,False,6.548,97,ovr,,,2019,0,False,,0.014
saga,elasticnet,False,0.021,3.286,True,9.213970156028365,102,ovr,0.4131135614470207,,2019,0,False,,-0.002
saga,elasticnet,False,0.021,3.286,True,9.213970156028365,102,ovr,0.5600832442866057,,2019,0,False,,-0.002
liblinear,l1,False,0.991,12.222,False,3.005,102,ovr,,,2019,0,True,,-0.044
liblinear,l2,False,0.0006123509583516129,32.718,False,1.4499417609870462,103,ovr,0.06830815189588113,,2019,0,True,,0.014
liblinear,l2,False,0.0006123509583516129,32.718,False,1.4499417609870462,103,auto,0.5409404195941063,,2019,0,True,,0.014
liblinear,l2,True,0.0006123509583516129,32.718,False,1.4499417609870462,103,auto,0.848032090309555,,2019,0,True,,-0.005
lbfgs,none,False,0.5996387492201324,99.05520826978609,False,6.548,97,ovr,,,2019,0,False,,0.013
lbfgs,l2,False,0.5996387492201324,99.05520826978609,False,6.548,97,ovr,,,2019,0,False,,0.014
liblinear,l2,True,0.0006123509583516129,32.718,False,1.4499417609870462,103,auto,0.10816440868787747,,2019,0,True,,-0.005
liblinear,l2,True,0.011,32.718,False,1.4499417609870462,103,auto,0.3968456873697461,,2019,0,True,,-0.005
liblinear,l2,True,0.011,32.718,False,1.4499417609870462,103,auto,0.9366840104525843,,2019,0,False,,-0.005
saga,elasticnet,False,0.021,4.286,True,9.213970156028365,102,ovr,0.6832623232538589,,2019,0,False,,-0.002
liblinear,l2,True,0.011,32.718,False,1.4499417609870462,102,auto,0.6454783762436824,,2019,0,False,,0.007
lbfgs,none,False,0.021,4.286,True,9.213970156028365,102,ovr,,,2019,0,False,,0.019
newton-cg,none,False,0.748,12.662,True,5.169,95,auto,0.30520864689886307,,2019,0,True,,0.019
liblinear,l2,True,0.8038084232384735,32.718,False,1.4499417609870462,102,ovr,0.7338393113099836,,2019,0,False,,0.007
lbfgs,none,False,0.031,4.286,True,9.213970156028365,102,ovr,,,2019,0,False,,0.019
lbfgs,none,False,0.031,4.286,True,8.455181890859379,102,ovr,,,2019,0,False,,0.019
