solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,EOD
liblinear,l1,False,0.11,29.776,False,0.9909853258710938,99,auto,0.6809967701112433,,2019,0,False,,-0.002
liblinear,l1,False,0.12,29.776,False,0.9909853258710938,99,auto,0.5583557360970469,,2019,0,False,,-0.002
sag,l2,False,0.8685349963610635,1.8111092635935753,True,2.625,101,multinomial,,,2019,0,True,,-0.003
saga,elasticnet,False,0.356,5.875317612523091,False,0.13675380632517772,95,multinomial,0.04200453196734122,,2019,0,True,,-0.03
liblinear,l1,False,0.12,29.776,False,0.9909853258710938,104,auto,0.7491348233908631,,2019,0,False,,-0.002
liblinear,l1,False,0.12,29.776,False,0.9909853258710938,104,auto,,,2019,0,False,,-0.002
sag,l2,False,0.93,77.9469637104089,False,0.9,98,multinomial,0.7013248175948597,,2019,0,False,,-0.014
sag,l2,False,0.8685349963610635,1.8111092635935753,True,9.876995935735438,101,multinomial,,,2019,0,True,,-0.003
sag,l2,False,0.8685349963610635,1.8111092635935753,True,9.876995935735438,101,multinomial,,,2019,0,False,,-0.003
sag,none,False,0.8685349963610635,1.8111092635935753,True,9.876995935735438,101,multinomial,,,2019,0,False,,-0.003
sag,none,False,0.93,77.9469637104089,False,0.9,99,multinomial,0.5379287837318205,,2019,0,False,,-0.014
saga,elasticnet,False,0.356,5.875317612523091,True,0.13675380632517772,95,multinomial,0.5871255046951435,,2019,0,True,,-0.025
saga,elasticnet,False,0.356,5.875317612523091,True,0.037,95,multinomial,0.008897082049078797,,2019,0,True,,-0.025
saga,elasticnet,False,0.356,5.875317612523091,True,2.406267004901101,95,multinomial,0.15102317386398778,,2019,0,True,,-0.025
liblinear,l1,False,0.12,29.776,False,1.091,104,auto,,,2019,0,False,,-0.002
saga,elasticnet,False,0.356,94.6111866056956,True,2.406267004901101,95,multinomial,0.3334083880298664,,2019,0,True,,-0.025
sag,l2,False,0.8685349963610635,0.811,True,9.876995935735438,101,multinomial,,,2019,0,False,,-0.003
liblinear,l1,False,0.93,77.9469637104089,False,0.9,99,ovr,0.3382559700266786,,2019,0,False,,-0.053
liblinear,l1,False,0.93,78.947,False,0.9,99,ovr,0.6205381083165517,,2019,0,False,,-0.053
saga,elasticnet,False,0.356,94.6111866056956,False,2.406267004901101,95,multinomial,0.041202949506209285,,2019,0,True,,-0.03
saga,elasticnet,False,0.346,94.6111866056956,False,2.406267004901101,95,multinomial,0.16386054567557595,,2019,0,True,,-0.03
lbfgs,none,False,0.894,74.039,False,9.172,101,ovr,0.39479198298829066,,2019,0,False,,0.015
liblinear,l1,False,0.93,78.947,False,0.9,99,ovr,0.5484842965725134,,2019,0,False,,-0.053
saga,l2,False,0.346,94.6111866056956,False,2.406267004901101,95,multinomial,0.29340700145733656,,2019,0,True,,-0.03
saga,l2,False,0.346,94.6111866056956,False,2.406267004901101,95,multinomial,0.47806466915102097,,2019,0,True,,-0.03
liblinear,l1,False,0.93,80.40504077086621,False,0.9,99,ovr,0.2397060836386239,,2019,0,False,,-0.053
liblinear,l2,True,0.12,29.776,False,1.091,104,auto,,,2019,0,False,,-0.1
saga,l1,False,0.04,96.019,False,2.292,100,multinomial,,,2019,0,True,,-0.004
liblinear,l1,False,0.93,80.40504077086621,False,0.9,99,ovr,0.04825636228829444,,2019,0,False,,-0.053
sag,none,False,0.8685349963610635,0.811,True,9.876995935735438,102,multinomial,,,2019,0,False,,-0.003
saga,l1,False,0.93,80.40504077086621,False,0.9,99,multinomial,0.5230502317000981,,2019,0,False,,-0.03
saga,l1,False,0.93,80.40504077086621,True,0.9,99,multinomial,0.07086288409434749,,2019,0,False,,-0.025
saga,l2,False,0.346,94.6111866056956,False,2.406267004901101,95,multinomial,0.4031691464450935,,2019,0,True,,-0.03
sag,none,False,0.10194665568631942,0.811,True,9.876995935735438,102,multinomial,,,2019,0,False,,0.003
saga,l1,False,0.93,80.40504077086621,True,0.9,99,multinomial,0.4147216089714424,,2019,0,False,,-0.025
liblinear,l2,True,0.12,29.776,True,1.091,104,auto,,,2019,0,False,,-0.089
sag,l2,False,0.10194665568631942,0.811,False,9.876995935735438,102,multinomial,,,2019,0,False,,-0.001
liblinear,l2,True,0.13,29.776,True,1.091,104,auto,,,2019,0,False,,-0.089
sag,l2,False,0.93,80.40504077086621,True,0.9,99,multinomial,0.4740046511372964,,2019,0,False,,-0.003
liblinear,l2,False,0.13,29.776,True,1.091,104,auto,,,2019,0,False,,0.005
liblinear,l2,False,0.13,10.731261349292215,True,1.091,104,auto,,,2019,0,False,,0.005
saga,l2,False,0.346,94.6111866056956,True,2.406267004901101,95,multinomial,0.976229457649057,,2019,0,True,,-0.025
sag,none,False,0.10194665568631942,0.811,False,9.876995935735438,102,multinomial,,,2019,0,False,,-0.001
sag,none,False,0.10194665568631942,0.811,False,9.876995935735438,102,multinomial,,,2019,0,True,,-0.001
liblinear,l2,True,0.13,10.731261349292215,True,1.091,104,auto,,,2019,0,False,,-0.076
lbfgs,l2,False,0.13,10.731261349292215,True,1.091,104,auto,,,2019,0,False,,0.02
saga,l2,False,0.346,94.6111866056956,True,2.406267004901101,95,multinomial,0.6995952911506185,,2019,0,True,,-0.025
sag,none,False,0.10194665568631942,0.811,True,9.876995935735438,102,multinomial,,,2019,0,True,,0.003
sag,none,False,0.112,0.811,True,9.876995935735438,102,multinomial,,,2019,0,True,,0.003
lbfgs,l2,False,0.12,10.731261349292215,True,1.091,104,auto,,,2019,0,False,,0.02
sag,l2,False,0.112,0.811,False,9.876995935735438,102,multinomial,,,2019,0,True,,-0.001
sag,none,False,0.112,1.811,False,9.876995935735438,102,multinomial,,,2019,0,True,,-0.001
newton-cg,l2,False,0.93,80.40504077086621,True,0.9,99,auto,0.08466956912011114,,2019,0,False,,0.022
lbfgs,l2,False,0.12,10.731261349292215,False,1.091,104,auto,,,2019,0,False,,0.015
sag,none,False,0.112,1.811,False,9.876995935735438,102,multinomial,,,2019,0,False,,-0.001
liblinear,l1,False,0.112,1.811,False,9.876995935735438,102,ovr,,,2019,0,False,,-0.002
liblinear,l1,False,0.112,1.811,False,9.876995935735438,102,ovr,,,2019,0,True,,-0.002
newton-cg,l2,False,0.93,80.40504077086621,True,0.9,99,auto,0.39380795178170946,,2019,0,False,,0.022
